R: 32 -> miss (tag 16, index 3)
R: 0 -> miss (tag 0, index 3)
R: 16 -> miss (tag 8, index 3)
W: 32 -> hit (tag 16, index 3)
R: 32 -> hit (tag 16, index 3)
R: 1 -> hit (tag 0, index 3)
R: 20 -> miss (tag 10, index 3)
W: 32 -> hit (tag 16, index 3)
R: 32 -> hit (tag 16, index 3)
R: 2 -> miss (tag 1, index 3)
R: 24 -> miss (tag 12, index 3)
W: 32 -> hit (tag 16, index 3)
R: 32 -> hit (tag 16, index 3)
R: 3 -> hit (tag 1, index 3)
R: 28 -> miss (tag 14, index 3)
W: 32 -> hit (tag 16, index 3)
R: 33 -> hit (tag 16, index 3)
R: 0 -> hit (tag 0, index 3)
R: 17 -> hit (tag 8, index 3)
W: 33 -> hit (tag 16, index 3)
R: 33 -> hit (tag 16, index 3)
R: 1 -> hit (tag 0, index 3)
R: 21 -> hit (tag 10, index 3)
W: 33 -> hit (tag 16, index 3)
R: 33 -> hit (tag 16, index 3)
R: 2 -> hit (tag 1, index 3)
R: 25 -> hit (tag 12, index 3)
W: 33 -> hit (tag 16, index 3)
R: 33 -> hit (tag 16, index 3)
R: 3 -> hit (tag 1, index 3)
R: 29 -> hit (tag 14, index 3)
W: 33 -> hit (tag 16, index 3)
R: 34 -> miss (tag 17, index 3)
R: 0 -> hit (tag 0, index 3)
R: 18 -> miss (tag 9, index 3)
W: 34 -> hit (tag 17, index 3)
R: 34 -> hit (tag 17, index 3)
R: 1 -> hit (tag 0, index 3)
R: 22 -> miss (tag 11, index 3)
W: 34 -> hit (tag 17, index 3)
R: 34 -> hit (tag 17, index 3)
R: 2 -> hit (tag 1, index 3)
R: 26 -> miss (tag 13, index 3)
W: 34 -> hit (tag 17, index 3)
R: 34 -> hit (tag 17, index 3)
R: 3 -> hit (tag 1, index 3)
R: 30 -> miss (tag 15, index 3)
W: 34 -> hit (tag 17, index 3)
R: 35 -> hit (tag 17, index 3)
R: 0 -> hit (tag 0, index 3)
R: 19 -> miss (tag 9, index 3)
W: 35 -> hit (tag 17, index 3)
R: 35 -> hit (tag 17, index 3)
R: 1 -> hit (tag 0, index 3)
R: 23 -> miss (tag 11, index 3)
W: 35 -> hit (tag 17, index 3)
R: 35 -> hit (tag 17, index 3)
R: 2 -> hit (tag 1, index 3)
R: 27 -> miss (tag 13, index 3)
W: 35 -> hit (tag 17, index 3)
R: 35 -> hit (tag 17, index 3)
R: 3 -> hit (tag 1, index 3)
R: 31 -> miss (tag 15, index 3)
W: 35 -> hit (tag 17, index 3)
R: 36 -> miss (tag 18, index 3)
R: 4 -> miss (tag 2, index 3)
R: 16 -> hit (tag 8, index 3)
W: 36 -> miss (tag 18, index 3)
R: 36 -> hit (tag 18, index 3)
R: 5 -> miss (tag 2, index 3)
R: 20 -> hit (tag 10, index 3)
W: 36 -> miss (tag 18, index 3)
R: 36 -> hit (tag 18, index 3)
